
timestamp,Fruges Wind Speed [100 m],Fruges Wind Direction [100 m]
20190101T0000,5.1088157,273.36646
20190101T0100,4.9648767,279.27258
20190101T0200,4.6872168,281.0702
20190101T0300,4.9365983,276.98108
20190101T0400,5.2392745,283.24054
20190101T0500,5.440588,287.10272
20190101T0600,5.7567353,287.1759
20190101T0700,6.109828,291.10486
20190101T0800,6.3245554,288.43497
20190101T0900,6.484597,287.03778
20190101T1000,6.705222,287.35403
20190101T1100,6.545991,288.71173
20190101T1200,6.6407833,288.43494
20190101T1300,6.815424,292.42587
20190101T1400,6.315853,293.31772
20190101T1500,6.847627,298.8108
20190101T1600,6.1611686,305.7539
20190101T1700,6.1717095,319.6001
20190101T1800,6.397656,335.03723
20190101T1900,6.708204,349.69516
20190101T2000,6.500769,0.88139343
20190101T2100,6.328507,5.440323
20190101T2200,6.926038,4.9697266
20190101T2300,7.5026665,1.5275269
20190102T0000,7.800641,0.7345276
20190102T0100,7.202777,1.5911255
20190102T0200,6.600757,359.13196
20190102T0300,6.419502,355.53284
20190102T0400,6.726812,354.8827
20190102T0500,6.8183575,355.79465
20190102T0600,6.7,360.0
20190102T0700,6.6,360.0
20190102T0800,6.7007456,359.1449
20190102T0900,6.519202,355.60132
20190102T1000,6.5276337,354.7261
20190102T1100,6.2201285,355.38934
20190102T1200,5.707889,356.98724
20190102T1300,4.707441,347.73523
20190102T1400,5.5443664,352.74683
20190102T1500,7.7929454,8.857956
20190102T1600,6.8249536,10.980621
20190102T1700,5.2086463,3.3018646
20190102T1800,5.2,360.0
20190102T1900,5.0039983,357.7094
20190102T2000,4.925444,354.17365
20190102T2100,5.0089917,356.5664
20190102T2200,4.9010205,358.83087
20190102T2300,4.6010866,1.2453613
20190103T0000,4.4,360.0
20190103T0100,4.2107005,4.085617
20190103T0200,4.0447497,8.530762
20190103T0300,3.945884,8.74614
20190103T0400,3.945884,8.74614
20190103T0500,3.5902646,12.874985
20190103T0600,3.535534,8.130096
20190103T0700,3.748333,9.211014
20190103T0800,3.8118236,4.513962
20190103T0900,4.00125,1.4320831
20190103T1000,4.110961,4.1849213
20190103T1100,3.7013512,1.5481567
20190103T1200,2.570992,346.50427
20190103T1300,2.6172504,353.41806
20190103T1400,3.733631,7.6960297
20190103T1500,3.8470767,8.972626
20190103T1600,4.2201896,13.706955
20190103T1700,4.016217,18.886078
20190103T1800,3.8626416,21.250488
20190103T1900,4.049691,20.224854
20190103T2000,4.2720017,20.556046
20190103T2100,4.248529,26.565033
20190103T2200,3.5846896,30.141388
20190103T2300,3.6235344,27.979462
20190104T0000,4.1785164,21.037506
20190104T0100,4.1146083,25.942291
20190104T0200,3.9962482,31.701416
20190104T0300,3.448188,29.538757
20190104T0400,2.863564,24.775131
20190104T0500,2.7856774,21.037506
20190104T0600,3.026549,7.594635
20190104T0700,3.8013155,1.507431
20190104T0800,4.2,360.0
20190104T0900,4.4,360.0
20190104T1000,4.8093657,3.5763245
20190104T1100,4.4,360.0
20190104T1200,3.765634,349.2869
20190104T1300,3.640055,344.0546
20190104T1400,4.243819,325.56104
20190104T1500,5.0249376,317.4195
20190104T1600,5.315073,318.8141
20190104T1700,4.8010416,324.3236
20190104T1800,4.8083262,315.0
20190104T1900,5.0328918,319.02826
20190104T2000,5.2430906,325.0975
20190104T2100,4.5793014,328.39252
20190104T2200,4.318565,317.81555
20190104T2300,4.750789,310.73212
20190105T0000,5.481788,308.33334
20190105T0100,5.240229,311.90594
20190105T0200,4.8083262,315.0
20190105T0300,4.8104053,313.3153
20190105T0400,5.1224995,308.65982
20190105T0500,5.1224995,308.65982
20190105T0600,5.60803,309.9364
20190105T0700,6.293648,314.35626
20190105T0800,6.4443774,318.14496
20190105T0900,6.1846585,320.90616
20190105T1000,6.0605283,322.37378
20190105T1100,5.6400356,322.92694
20190105T1200,6.9641943,327.9074
20190105T1300,5.8830266,328.2011
20190105T1400,6.074537,327.0948
20190105T1500,6.1587334,327.60016
20190105T1600,5.936329,327.38077
20190105T1700,5.6859474,325.75098
20190105T1800,5.249762,319.63547
20190105T1900,5.375872,316.50745
20190105T2000,5.3814497,318.01282
20190105T2100,5.1623635,315.78485
20190105T2200,4.6010866,317.64255
20190105T2300,4.313931,315.9392
20190106T0000,4.1012197,315.0
20190106T0100,4.4553337,315.9094
20190106T0200,4.1012197,315.0
20190106T0300,3.8418746,308.65982
20190106T0400,4.2059484,298.39304
20190106T0500,4.609772,294.3411
20190106T0600,4.7423625,294.9439
20190106T0700,5.189412,295.08362
20190106T0800,5.7801385,300.11374
20190106T0900,5.5217752,305.41705
20190106T1000,4.9819674,308.48022
20190106T1100,4.6400433,307.11685
20190106T1200,4.909175,303.3664
20190106T1300,4.494441,302.27563
20190106T1400,4.0496917,302.90524
20190106T1500,4.2201896,306.32684
20190106T1600,4.4687805,310.46222
20190106T1700,4.0360875,311.98724
20190106T1800,4.031129,316.0051
20190106T1900,4.1868844,319.844
20190106T2000,4.604346,325.6197
20190106T2100,4.5617976,333.99664
20190106T2200,4.0804415,342.89728
20190106T2300,3.6878178,347.4712
20190107T0000,3.8327537,344.876
20190107T0100,3.544009,343.61047
20190107T0200,3.6055512,340.55997
20190107T0300,3.7696154,338.1986
20190107T0400,2.996665,334.29004
20190107T0500,2.3345237,313.26428
20190107T0600,2.657066,289.7989
20190107T0700,3.7854989,282.20047
20190107T0800,4.785394,280.8403
20190107T0900,4.7169905,274.8645
20190107T1000,4.7095647,266.34778
20190107T1100,5.141984,256.50427
20190107T1200,6.103278,251.86191
20190107T1300,6.992138,253.37924
20190107T1400,7.4,251.07536
20190107T1500,8.640023,253.87244
20190107T1600,9.472592,259.04596
20190107T1700,9.610411,257.98853
20190107T1800,9.701546,255.67728
20190107T1900,9.968951,256.66077
20190107T2000,10.413933,258.36636
20190107T2100,10.944405,257.86868
20190107T2200,11.65204,264.58298
20190107T2300,12.100413,270.4735
20190108T0000,11.527793,273.97937
20190108T0100,10.6794195,276.99194
20190108T0200,9.871676,283.47314
20190108T0300,9.940322,293.7284
20190108T0400,9.93227,302.25
20190108T0500,9.513149,303.85712
20190108T0600,9.5692215,304.35434
20190108T0700,9.5692215,304.35434
20190108T0800,9.602083,305.67642
20190108T0900,9.521029,306.02737
20190108T1000,9.708244,311.24146
20190108T1100,9.343447,317.60257
20190108T1200,8.560373,322.59467
20190108T1300,8.072175,318.0128
20190108T1400,8.655634,319.6859
20190108T1500,9.956907,326.46954
20190108T1600,9.794386,327.93262
20190108T1700,10.111874,331.6609
20190108T1800,9.883825,332.91644
20190108T1900,9.6648855,331.5788
20190108T2000,9.588014,329.95865
20190108T2100,9.4667845,328.82867
20190108T2200,9.552486,329.1391
20190108T2300,9.588014,329.95865
20190109T0000,10.06479,332.16193
20190109T0100,9.811218,330.0378
20190109T0200,9.912618,329.03625
20190109T0300,10.456099,326.30994
20190109T0400,10.543718,324.65186
20190109T0500,10.855874,328.94574
20190109T0600,11.315917,334.34076
20190109T0700,10.623088,337.29718
20190109T0800,10.159232,339.2459
20190109T0900,10.096039,343.8987
20190109T1000,9.726767,345.10654
20190109T1100,9.472592,349.04596
20190109T1200,8.820431,356.09952
20190109T1300,7.7162166,356.28473
20190109T1400,7.3552704,352.97162
20190109T1500,8.720665,356.0548
20190109T1600,9.400532,0.6094971
20190109T1700,8.905054,358.06943
20190109T1800,8.908984,2.573349
20190109T1900,8.260751,6.952957
20190109T2000,7.665507,7.4958496
20190109T2100,7.4732857,12.362473
