  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0018                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00714   0.00187  -0.0000   0.5549   0.5549
   0.500   0.0548   0.00718   0.00188   0.0004   0.5244   0.5847
   1.000   0.1093   0.00719   0.00192   0.0009   0.4956   0.6160
   2.000   0.2181   0.00733   0.00206   0.0019   0.4379   0.6792
   3.000   0.3263   0.00756   0.00231   0.0030   0.3821   0.7428
   4.000   0.4338   0.00791   0.00268   0.0043   0.3287   0.8040
   4.500   0.4868   0.00817   0.00291   0.0050   0.3023   0.8329
   5.000   0.5397   0.00843   0.00317   0.0058   0.2774   0.8594
   5.500   0.5914   0.00878   0.00348   0.0068   0.2523   0.8842
   6.000   0.6427   0.00914   0.00382   0.0079   0.2295   0.9067
   6.500   0.6929   0.00956   0.00419   0.0091   0.2074   0.9270
   7.000   0.7414   0.01006   0.00461   0.0107   0.1864   0.9453
   7.500   0.7909   0.01056   0.00506   0.0120   0.1680   0.9609
   8.000   0.8454   0.01115   0.00557   0.0122   0.1502   0.9725
   8.500   0.9037   0.01184   0.00616   0.0113   0.1332   0.9814
   9.000   0.9719   0.01256   0.00680   0.0081   0.1183   0.9853
   9.500   1.0352   0.01332   0.00749   0.0060   0.1055   0.9907
  10.000   1.0996   0.01413   0.00823   0.0034   0.0943   0.9942
  10.500   1.1640   0.01502   0.00906   0.0007   0.0847   0.9978
  11.000   1.2074   0.01577   0.00980   0.0022   0.0780   1.0000
  11.500   1.2009   0.01618   0.01025   0.0137   0.0746   1.0000
  12.000   1.2144   0.01703   0.01109   0.0207   0.0698   1.0000
  12.500   1.2427   0.01798   0.01208   0.0245   0.0658   1.0000
  13.000   1.2709   0.01921   0.01334   0.0277   0.0619   1.0000
  13.500   1.2970   0.02075   0.01489   0.0307   0.0582   1.0000
  14.000   1.3251   0.02233   0.01655   0.0330   0.0552   1.0000
  14.500   1.3455   0.02459   0.01884   0.0353   0.0523   1.0000
  15.000   1.3702   0.02673   0.02108   0.0369   0.0500   1.0000
  15.500   1.3863   0.02975   0.02416   0.0383   0.0477   1.0000
  16.000   1.4022   0.03300   0.02752   0.0392   0.0459   1.0000
  16.500   1.4141   0.03685   0.03149   0.0396   0.0441   1.0000
  17.000   1.4130   0.04226   0.03701   0.0395   0.0425   1.0000
  17.500   1.4183   0.04732   0.04222   0.0388   0.0413   1.0000
  18.000   1.4170   0.05335   0.04840   0.0376   0.0400   1.0000
  18.500   1.4050   0.06088   0.05607   0.0356   0.0389   1.0000
  19.000   1.3800   0.07037   0.06574   0.0326   0.0379   1.0000
  19.500   1.3669   0.07855   0.07410   0.0298   0.0371   1.0000
  20.000   1.3475   0.08780   0.08354   0.0263   0.0363   1.0000
  20.500   1.3225   0.09803   0.09393   0.0222   0.0355   1.0000
  21.000   1.2943   0.10896   0.10501   0.0175   0.0347   1.0000
